iter	RMSE
0	41.06242346
1	39.08335889
2	37.19968416
3	35.38917464
4	33.68369649
5	32.04521338
6	30.50657397
7	29.04020881
8	27.62999351
9	26.30016479
10	25.02854573
11	23.82059851
12	22.67173481
13	21.58304899
14	20.5409086
15	19.56124822
16	18.61570385
17	17.7195769
18	16.86823336
19	16.05956508
20	15.29589912
21	14.56192158
22	13.86836166
23	13.21303219
24	12.59420865
25	11.99994511
26	11.42705734
27	10.88338008
28	10.37453647
29	9.891436258
30	9.429588103
31	8.996170589
32	8.58086499
33	8.185864451
34	7.811913995
35	7.45810036
36	7.114228838
37	6.786397914
38	6.486200827
39	6.196612091
40	5.922842495
41	5.662566867
42	5.413244847
43	5.178762108
44	4.95357425
45	4.741189367
46	4.539374636
47	4.346836968
48	4.16297916
49	3.989748996
50	3.821849165
51	3.662329674
52	3.513587617
53	3.373975799
54	3.244215714
55	3.121385377
56	3.005014071
57	2.889814774
58	2.783057931
59	2.681164125
60	2.584508044
61	2.496993647
62	2.410438346
63	2.327570817
64	2.247249082
65	2.171769692
66	2.101649008
67	2.034531688
68	1.969656213
69	1.908999973
70	1.853809044
71	1.803416148
72	1.753270908
73	1.706248588
74	1.659086001
75	1.617127056
76	1.576507261
77	1.539534362
78	1.507081058
79	1.474012063
80	1.443303143
81	1.409805291
82	1.380969979
83	1.35456145
84	1.327527535
85	1.302379696
86	1.278716756
87	1.253827538
88	1.232701139
89	1.209593252
90	1.190445931
91	1.174175501
92	1.156453489
93	1.138526806
94	1.121580483
95	1.10832649
96	1.093660437
97	1.080191595
98	1.064739081
99	1.051799521
100	1.038282701
101	1.025736862
102	1.013694277
103	1.004772183
104	0.9925204704
105	0.9823824333
106	0.9725082501
107	0.9637515321
108	0.9538119119
109	0.9442146124
110	0.9343190144
111	0.9272897644
112	0.919779189
113	0.9128279889
114	0.9043890907
115	0.8961454172
116	0.8888035219
117	0.8817242775
118	0.8715465292
119	0.8672421672
120	0.8605146655
121	0.8560406218
122	0.849936711
123	0.8441709374
124	0.8387924766
125	0.8340623589
126	0.8293535148
127	0.823630507
128	0.8188805853
129	0.8136639365
130	0.8087045554
131	0.8039600507
132	0.7986579304
133	0.7941374655
134	0.789279519
135	0.7858285039
136	0.7825097655
137	0.7796945376
138	0.7747020371
139	0.7716112436
140	0.7655484882
141	0.7628469905
142	0.7608771057
143	0.7583318199
144	0.7542765727
145	0.7511902402
146	0.7491401321
147	0.7455451003
148	0.742044749
149	0.7394409148
150	0.7365317309
151	0.7300043098
152	0.7250602891
153	0.7202651235
154	0.7170846852
155	0.7123726307
156	0.7109410712
157	0.7071119842
158	0.7038766642
159	0.7015172981
160	0.69936551
161	0.6950302334
162	0.6926780567
163	0.689726086
164	0.6873986532
165	0.6831353579
166	0.6813123476
167	0.6794077579
168	0.6763020323
169	0.6741523558
170	0.6711543421
171	0.6679873674
172	0.6662461685
173	0.663726927
174	0.6617308617
175	0.660531704
176	0.6589988361
177	0.6566566417
178	0.6544976639
179	0.6527550032
180	0.6517842347
181	0.6493388532
182	0.6479514873
183	0.6464370064
184	0.6445416014
185	0.6427865458
186	0.6391208482
187	0.6368367125
188	0.6347792465
189	0.6331977958
190	0.6323709978
191	0.6293781296
192	0.6271322768
193	0.6242036278
194	0.6213193971
195	0.6179232913
196	0.6167163038
197	0.6134063835
198	0.6099465687
199	0.608374999
200	0.6062393487
201	0.6023589117
202	0.5983820982
203	0.5965279077
204	0.594902159
205	0.5930776807
206	0.5922336932
207	0.589375241
208	0.5872648325
209	0.5839868168
210	0.5825971047
211	0.5809270206
212	0.580119263
213	0.579457253
214	0.578860809
215	0.5750274717
216	0.5716735162
217	0.5684859433
218	0.5654217136
219	0.5650011046
220	0.5644064378
221	0.5634537197
222	0.5609389022
223	0.5584525677
224	0.5560504881
225	0.5546789388
226	0.554177589
227	0.5516139349
228	0.5506088406
229	0.5490443635
230	0.5469011928
231	0.5443588698
232	0.5430784032
233	0.5405944883
234	0.5387768754
235	0.5378772013
236	0.5368313592
237	0.5350043321
238	0.5333448394
239	0.5308747482
240	0.5295269685
241	0.5257212
242	0.5236668327
243	0.5222090961
244	0.5207644568
245	0.5188596617
246	0.5184498297
247	0.5159975734
248	0.5147802322
249	0.5141645004
250	0.5114391886
251	0.5091738477
252	0.5076955202
253	0.5064064804
254	0.504665771
255	0.5025121154
256	0.5005396443
257	0.4986910253
258	0.4970986869
259	0.4957035603
260	0.4945163882
261	0.4929528859
262	0.4911298145
263	0.4894561847
264	0.4878400648
265	0.4866119047
266	0.486033195
267	0.4840802388
268	0.4818704955
269	0.4811739243
270	0.480472529
271	0.4792148583
272	0.4784107218
273	0.4762894036
274	0.4755542085
275	0.4741354233
276	0.4714517535
277	0.4699302893
278	0.4686001669
279	0.467261839
280	0.4651091961
281	0.4634235852
282	0.4618576509
283	0.4609257469
284	0.4586806883
285	0.4579956023
286	0.4561817982
287	0.4529383061
288	0.4508099567
289	0.4484655014
290	0.4475946985
291	0.4466970195
292	0.4461911143
293	0.4449177411
294	0.4429547858
295	0.4425674076
296	0.4410906008
297	0.4400781177
298	0.4390817205
299	0.4373199473
300	0.4364318919
301	0.4359018585
302	0.4345230461
303	0.4336532373
304	0.4321662584
305	0.4305613912
306	0.4298861608
307	0.4291787295
308	0.4282055137
309	0.4261461986
310	0.4250283733
311	0.4231677828
312	0.4218577925
313	0.4200094037
314	0.418563836
315	0.4178155574
316	0.4165736834
317	0.4153578236
318	0.4141413495
319	0.4132070416
320	0.411391343
321	0.4099524323
322	0.4087206721
323	0.4079615605
324	0.4068170898
325	0.4058015431
326	0.4048454718
327	0.4028596219
328	0.4019053153
329	0.4013955097
330	0.4000214333
331	0.3992517763
332	0.3981867273
333	0.3971201108
334	0.396716268
335	0.3950905008
336	0.3940888656
337	0.3928552753
338	0.3920676997
339	0.3915713476
340	0.3902955057
341	0.3898711132
342	0.389258022
343	0.3883202475
344	0.386918268
345	0.3859547739
346	0.3849771652
347	0.3846223215
348	0.3837649964
349	0.3833371803
350	0.3816458292
351	0.38079083
352	0.3800721175
353	0.3786178441
354	0.3778937145
355	0.3763065465
356	0.3755799023
357	0.3743414245
358	0.3736865994
359	0.3728637309
360	0.3720580909
361	0.3717052479
362	0.3709321725
363	0.3697533353
364	0.3690493802
365	0.3674381534
366	0.3660207356
367	0.3651046502
368	0.3644486734
369	0.3630848282
370	0.3627959857
371	0.3617912804
372	0.3604765828
373	0.3596730637
374	0.3592545043
375	0.3577576339
376	0.356838965
377	0.3562222326
378	0.3550128798
379	0.3546605211
380	0.353332617
381	0.3525732086
382	0.3521640969
383	0.3512135885
384	0.3504290972
385	0.3495729839
386	0.3489949795
387	0.3482133397
388	0.347832196
389	0.3474594201
390	0.3465318941
391	0.3459088679
392	0.3451970331
393	0.3444108508
394	0.3434881515
395	0.34282947
396	0.3422919665
397	0.3414953631
398	0.341124164
399	0.3399326591
400	0.3395754029
401	0.3391400836
402	0.3385941636
403	0.3379268936
404	0.3370045727
405	0.336526783
406	0.3359994064
407	0.3356703734
408	0.3349958046
409	0.3338186106
410	0.3331692089
411	0.3316331138
412	0.3311443165
413	0.330161645
414	0.3296684145
415	0.3294313976
416	0.3284546109
417	0.3277318309
418	0.326606203
419	0.3263805453
420	0.324644953
421	0.3243370604
422	0.3235549553
423	0.3232801007
424	0.3228023871
425	0.3219278767
426	0.320887171
427	0.3199093646
428	0.3190736996
429	0.3176930192
430	0.3171085072
431	0.3165853659
432	0.3159423481
433	0.3154579305
434	0.3147313427
435	0.3135567846
436	0.312577076
437	0.3121087631
438	0.3118457438
439	0.3114266064
440	0.311223336
441	0.3108425671
