iter	Passed	Remaining
0	81	81129
1	133	66822
2	229	76430
3	312	77854
4	396	78843
5	504	83573
6	615	87249
7	705	87439
8	787	86692
9	870	86206
10	955	85878
11	1049	86386
12	1157	87843
13	1261	88811
14	1342	88138
15	1431	88046
16	1521	87971
17	1609	87799
18	1707	88138
19	1809	88652
20	1900	88612
21	1990	88508
22	2075	88175
23	2162	87936
24	2266	88385
25	2353	88173
26	2439	87896
27	2525	87660
28	2612	87465
29	2712	87703
30	2800	87534
31	2887	87331
32	2969	87004
33	3058	86910
34	3143	86668
35	3225	86369
36	3313	86251
37	3402	86125
38	3493	86083
39	3593	86235
40	3688	86274
41	3784	86317
42	3872	86181
43	3963	86123
44	4049	85936
45	4135	85761
46	4231	85802
47	4332	85920
48	4428	85950
49	4522	85931
50	4611	85807
51	4695	85598
52	4781	85441
53	4867	85277
54	4953	85103
55	5037	84923
56	5120	84719
57	5220	84784
58	5335	85092
59	5454	85459
60	5540	85287
61	5624	85100
62	5710	84925
63	5796	84768
64	5879	84571
65	5966	84434
66	6048	84230
67	6140	84154
68	6236	84152
69	6332	84136
70	6422	84039
71	6506	83858
72	6595	83751
73	6682	83621
74	6767	83465
75	6851	83299
76	6939	83179
77	7023	83021
78	7110	82900
79	7195	82745
80	7282	82620
81	7367	82481
82	7454	82361
83	7533	82153
84	7623	82070
85	7710	81946
86	7795	81803
87	7882	81686
88	7967	81559
89	8065	81546
90	8168	81590
91	8259	81518
92	8347	81410
93	8438	81331
94	8539	81345
95	8641	81374
96	8737	81339
97	8831	81283
98	8929	81269
99	9056	81509
100	9147	81419
101	9236	81315
102	9320	81173
103	9408	81057
104	9493	80917
105	9578	80786
106	9668	80688
107	9753	80556
108	9840	80441
109	9929	80335
110	10013	80198
111	10097	80059
112	10188	79978
113	10271	79828
114	10357	79708
115	10446	79612
116	10532	79491
117	10616	79350
118	10705	79256
119	10790	79131
120	10879	79036
121	10972	78966
122	11067	78911
123	11159	78839
124	11245	78715
125	11330	78593
126	11416	78474
127	11505	78379
128	11591	78266
129	11675	78139
130	11761	78018
131	11849	77921
132	11937	77816
133	12021	77692
134	12109	77587
135	12196	77484
136	12286	77398
137	12370	77269
138	12464	77206
139	12551	77100
140	12635	76977
141	12718	76850
142	12804	76736
143	12888	76617
144	12980	76540
145	13072	76462
146	13156	76342
147	13245	76252
148	13330	76137
149	13415	76023
150	13503	75924
151	13588	75810
152	13673	75697
153	13758	75581
154	13843	75468
155	13928	75355
156	14014	75251
157	14100	75143
158	14186	75035
159	14271	74925
160	14354	74803
161	14440	74700
162	14528	74602
163	14612	74488
164	14697	74379
165	14784	74276
166	14869	74169
167	14962	74099
168	15048	73996
169	15134	73892
170	15219	73783
171	15304	73673
172	15390	73571
173	15477	73473
174	15564	73374
175	15650	73274
176	15738	73178
177	15825	73082
178	15912	72985
179	15997	72878
180	16083	72775
181	16166	72658
182	16251	72552
183	16336	72449
184	16424	72354
185	16511	72259
186	16597	72158
187	16684	72063
188	16768	71955
189	16852	71846
190	16940	71752
191	17027	71659
192	17113	71558
193	17200	71460
194	17283	71351
195	17370	71253
196	17455	71152
197	17545	71067
198	17632	70973
199	17719	70878
200	17806	70782
201	17892	70685
202	17980	70591
203	18063	70482
204	18150	70387
205	18236	70289
206	18321	70188
207	18407	70089
208	18491	69982
209	18576	69884
210	18669	69811
211	18755	69712
212	18840	69611
213	18924	69507
214	19012	69415
215	19096	69314
216	19183	69219
217	19270	69125
218	19357	69034
219	19442	68933
220	19526	68829
221	19614	68737
222	19704	68654
223	19791	68563
224	19877	68465
225	19967	68385
226	20054	68291
227	20140	68196
228	20229	68107
229	20316	68014
230	20406	67931
231	20492	67835
232	20578	67741
233	20667	67655
234	20754	67563
235	20843	67476
236	20930	67383
237	21016	67289
238	21103	67196
239	21192	67110
240	21279	67017
241	21366	66925
242	21452	66828
243	21539	66738
244	21625	66641
245	21710	66544
246	21800	66459
247	21883	66356
248	21973	66272
249	22059	66178
250	22146	66085
251	22233	65994
252	22320	65904
253	22408	65812
254	22492	65712
255	22577	65615
256	22665	65526
257	22753	65438
258	22837	65338
259	22926	65252
260	23016	65170
261	23103	65077
262	23190	64987
263	23274	64886
264	23356	64781
265	23446	64698
266	23533	64606
267	23620	64515
268	23706	64422
269	23792	64328
270	23879	64236
271	23969	64154
272	24054	64056
273	24142	63969
274	24228	63876
275	24313	63778
276	24400	63688
277	24486	63595
278	24573	63502
279	24660	63412
280	24751	63331
281	24836	63237
282	24922	63144
283	25008	63050
284	25096	62961
285	25182	62869
286	25271	62782
287	25357	62688
288	25444	62597
289	25533	62512
290	25620	62421
291	25705	62326
292	25796	62245
293	25882	62152
294	25969	62062
295	26050	61958
296	26140	61874
297	26229	61789
298	26314	61695
299	26400	61600
300	26483	61500
301	26570	61412
302	26659	61324
303	26748	61239
304	26834	61147
305	26923	61060
306	27011	60974
307	27098	60882
308	27184	60790
309	27274	60706
310	27363	60621
311	27449	60530
312	27537	60442
313	27625	60353
314	27713	60265
315	27803	60181
316	27891	60093
317	27976	59999
318	28063	59910
319	28154	59827
320	28240	59736
321	28328	59647
322	28414	59556
323	28501	59467
324	28588	59376
325	28676	59288
326	28764	59199
327	28851	59109
328	28941	59026
329	29031	58943
330	29116	58849
331	29204	58759
332	29291	58670
333	29375	58574
334	29460	58480
335	29545	58387
336	29630	58293
337	29721	58211
338	29811	58128
339	29899	58039
340	29984	57947
341	30072	57858
342	30157	57764
343	30245	57677
344	30333	57590
345	30419	57499
346	30506	57408
347	30591	57315
348	30681	57230
349	30767	57139
350	30857	57055
351	30947	56971
352	31033	56880
353	31122	56794
354	31207	56700
355	31294	56611
356	31379	56518
357	31466	56428
358	31554	56340
359	31641	56251
360	31731	56167
361	31818	56077
362	31904	55986
363	31991	55897
364	32078	55808
365	32167	55721
366	32255	55633
367	32344	55547
368	32432	55459
369	32519	55370
370	32605	55279
371	32692	55190
372	32781	55105
373	32876	55027
374	32965	54942
375	33052	54853
376	33140	54764
377	33227	54675
378	33313	54585
379	33400	54495
380	33489	54409
381	33573	54315
382	33663	54230
383	33745	54133
384	33837	54052
385	33929	53970
386	34014	53877
387	34100	53787
388	34187	53698
389	34276	53611
390	34363	53523
391	34452	53436
392	34540	53349
393	34626	53258
394	34715	53172
395	34804	53086
396	34894	53000
397	34984	52916
398	35069	52824
399	35157	52736
400	35245	52648
401	35334	52561
402	35418	52468
403	35506	52380
404	35594	52293
405	35683	52206
406	35768	52115
407	35856	52026
408	35944	51939
409	36031	51850
410	36114	51754
411	36208	51676
412	36294	51586
413	36379	51492
414	36466	51405
415	36554	51316
416	36641	51227
417	36728	51138
418	36816	51051
419	36912	50973
420	37005	50894
421	37092	50804
422	37180	50716
423	37266	50626
424	37358	50544
425	37445	50455
426	37531	50364
427	37620	50278
428	37707	50189
429	37792	50097
430	37880	50009
431	37974	49929
432	38064	49844
433	38156	49762
434	38252	49684
435	38346	49604
436	38439	49522
437	38526	49433
438	38612	49342
439	38699	49253
440	38785	49163
441	38872	49074
442	38958	48983
443	39048	48898
444	39135	48809
445	39221	48718
446	39310	48632
447	39397	48543
448	39484	48453
449	39571	48365
450	39660	48278
451	39746	48187
452	39832	48098
453	39921	48011
454	40009	47923
455	40093	47830
456	40182	47744
457	40271	47657
458	40358	47567
459	40444	47478
460	40532	47390
461	40618	47299
462	40704	47209
463	40794	47124
464	40882	47036
465	40972	46951
466	41062	46865
467	41150	46777
468	41238	46690
469	41324	46599
470	41413	46512
471	41502	46426
472	41589	46337
473	41676	46248
474	41764	46161
475	41851	46071
476	41940	45985
